"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete exercise","LMS service","Tue Jun 30 15:13:53 UTC 2026","passed","Tue Jun 30 15:13:53 UTC 2026","Delete entity","Exercises","",""
"","14","Get file","LMS service","Tue Jun 30 15:13:54 UTC 2026","passed","Tue Jun 30 15:13:54 UTC 2026","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Tue Jun 30 15:13:48 UTC 2026","passed","Tue Jun 30 15:13:48 UTC 2026","Login","Authentication","",""
"","527","Attempt to create user with email: example.com","LMS service","Tue Jun 30 15:13:57 UTC 2026","passed","Tue Jun 30 15:13:57 UTC 2026","Create entity","Users","",""
"","290","Attempt to create user with email: gmail.com","LMS service","Tue Jun 30 15:13:56 UTC 2026","passed","Tue Jun 30 15:13:57 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Tue Jun 30 15:13:55 UTC 2026","passed","Tue Jun 30 15:13:55 UTC 2026","Delete entity","Files","",""
"","24","Update exercise","LMS service","Tue Jun 30 15:13:51 UTC 2026","passed","Tue Jun 30 15:13:51 UTC 2026","Update entity","Exercises","",""
"","281","Create file with empty directory","LMS service","Tue Jun 30 15:13:56 UTC 2026","passed","Tue Jun 30 15:13:56 UTC 2026","Validate entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Tue Jun 30 15:13:56 UTC 2026","passed","Tue Jun 30 15:13:56 UTC 2026","Validate entity","Files","",""
"","17","Get exercises","LMS service","Tue Jun 30 15:13:53 UTC 2026","passed","Tue Jun 30 15:13:53 UTC 2026","Get entities","Exercises","",""
"","277","Create file","LMS service","Tue Jun 30 15:13:54 UTC 2026","passed","Tue Jun 30 15:13:54 UTC 2026","Create entity","Files","",""
"","23","Create exercise","LMS service","Tue Jun 30 15:13:50 UTC 2026","passed","Tue Jun 30 15:13:50 UTC 2026","Create entity","Exercises","",""
"","51","Create file with empty filename","LMS service","Tue Jun 30 15:13:55 UTC 2026","passed","Tue Jun 30 15:13:55 UTC 2026","Validate entity","Files","",""
"","513","Attempt to create user with email: mail.ru","LMS service","Tue Jun 30 15:13:57 UTC 2026","passed","Tue Jun 30 15:13:57 UTC 2026","Create entity","Users","",""
"","31","Update course","LMS service","Tue Jun 30 15:13:49 UTC 2026","passed","Tue Jun 30 15:13:49 UTC 2026","Update entity","Courses","",""
"","16","Get exercise","LMS service","Tue Jun 30 15:13:52 UTC 2026","passed","Tue Jun 30 15:13:52 UTC 2026","Get entity","Exercises","",""
"","25","Get courses","LMS service","Tue Jun 30 15:13:49 UTC 2026","passed","Tue Jun 30 15:13:49 UTC 2026","Get entities","Courses","",""
"","31","Create course","LMS service","Tue Jun 30 15:13:50 UTC 2026","passed","Tue Jun 30 15:13:50 UTC 2026","Create entity","Courses","",""
"","15","Get user me","LMS service","Tue Jun 30 15:13:58 UTC 2026","passed","Tue Jun 30 15:13:58 UTC 2026","Get entity","Users","",""
